상품명,수량,일자
블루베리 필링 도넛,13,2025-10-15
버터크럼 도넛,51,2025-10-15
레몬 필링 도넛,11,2025-10-15
딸기 필링 도넛,25,2025-10-15
누텔라 도넛,31,2025-10-15
글레이즈 크론디,56,2025-10-15
글레이즈 올드패션,27,2025-10-15
글레이즈 도넛,59,2025-10-15
가나슈 도넛,21,2025-10-15
피스타치오 가나슈 도넛,50,2025-10-15
아몬드 브리틀 도넛,14,2025-10-15
핑크 스프링클 도넛,22,2025-10-15
